,reference
861,Pemkab Sumba Barat
862,Pemkab Sumba Barat Daya
863,Pemkab Tanah Laut
864,Pemkab TTS
865,Pemkab Timteng Selatan
866,Pemerintah Kabupaten Timteng Selatan
867,Pemkab Timor Tengah Selatan
868,Pemerintah Kabupaten TTS
869,Pemkab Tulang Bawang
870,Pemkot Banda Aceh
871,Pemko Lhokseumawe
872,Pemkot Lhokseumawe
873,Pemkot Sabang
874,Pemkot Tidore
875,Pemerintah Kota Tidore
876,Pemkot Tidore Kepulauan
877,Pemprov Kalimantan Selatan
878,Pemerintah Provinsi Kalsel
879,Pemprov Kalsel
880,Pemprov Kaltim
881,Pemerintah Provinsi Kaltim
882,Pemprov Kalimantan Timur
883,Pemprov Malut
884,Pemprov Maluku Utara
885,Pemerintah Provinsi Malut
886,Pemerintah Provinsi NAD
887,Pemprov NAD
888,Pemprov Nangroe Aceh Darussalam
889,Perum Bulog Kanwil Kaltim & Kaltara
890,Perum Bulog Kabupaten Probolinggo
891,Jasa Tirta II
892,Jasa Tirta 2
893,Perum Perhutani KPH Bandung Utara
894,Perum Perhutani Divisi Regional Jawa Barat dan Banten
895,Perum PPD
896,Perusahaan Umum Pengangkutan Penumpang Djakarta
897,Brantas Abipraya
898,Kantor Pusat PT Brantas Abipraya (Persero)
899,Dahana
900,PT Dahana Subang
901,Danareksa
902,PT Danareksa
903,Djakarta Lloyd
904,PT Djakarta Lloyd
905,PT DKB
906,Dok dan Perkapalan Kodja Bahari
907,Geo Dipa Energi
908,PT Geo Dipa Energi (Persero)
909,Jiep Ecogreen
910,PT JIEP
911,Jasa Raharja
912,Jasa Raharja Bandung
913,PT KBN
914,Kawasan Berikat Nusantara
915,Kimia Farma
916,PT Kimia Farma Tbk
917,Pelindo I
918,Pelabuhan Indonesia
919,Pelabuhan Indonesia III
920,Pelindo III
921,Pelayaran Nasional Indonesia
922,PT PELNI
923,PT PP
924,Pembangunan Perumahan
925,PT Semen Indonesia
926,Semen Indonesia
927,PT TWC
928,PT Taman Wisata Candi
929,PT VTP
930,Varuna Tirta Prakasya
931,Indofarma TBK
932,Indofarma Global Medika
933,Indofarma Global Medika Cabang
934,PT IGM
935,Indofarma
936,PT Telkom Indonesia
